OldExternalPayeeKey,NewExternalPayeeKey
9457,KCSM,KANCITSOUMO1
PNWI,891829,PNWINTTX1
RKNE,810939,ROAINTMA1
TNQG,751339,TRALOGPA1
WLLJ,661363,WHILOGOH1
T115,602362,STREAMLINE1
COTM,568118,CONTRASEROH1
N066,562163,ZBROTRUOH1
12393,53433,UNIPACMO1
CECA,476351,CELCARIL1
UISA,468507,UNIINTSERMI1
ETCA,438912,ETRCARFL1
NCOC,417025,NORCOTX1
FMXO,396579,FMXFL1
TDIS,371347,THODIRLNC1
CYWQ,330633,COUWIDOFFL1
BCRG,278215,BEACARIL1
SPRA,258977,SPERAISERUT1
21463,231970,BWMITSC1
9485,219196,JLTRAAZ1
10110,161736,LOULOGCOMNE1
EGSY,157824,EAGSYSWA1
AIPA,152672,ARLPA1
HPSQ,152658,HUCPIGSERNC1
CSXO,152494,CSXINTTEFL1
TRNJ,146769,TRASYSOH1
SCDS,133655,SCHNATCARWI1
16685,1098356,GENINTSERTX1
GPVM,1092714,GRAINTTX1
UACL,059583,UNITRUOH1
